Search Term,Tweet Text,URL
Alec Milton,RT @QuarterbackGuru: Quarterback training with 2018 Milton Academy 6'2 185 QB Alec Beesmer. Prepping for the NJ Elite 11. @Elite11 https://…,
Alec Milton,Quarterback training with 2018 Milton Academy 6'2 185 QB Alec Beesmer. Prepping for the NJ Elite 11. @Elite11 https://t.co/0xEfKMVAJa,
